
1,9,7,3,13,4,16,3,8,7,1,14,16,16,10,13,3,8,15,16,15,18,18,9,11,2,9,3,11,14,10
2,4,4,11,13,8,1,15,0,0,0,6,13,18,0,6,17,17,2,5,11,0,7,18,17,3,2,13,13,18,15
3,17,18,13,6,7,18,1,10,0,4,15,7,15,1,1,18,15,3,9,9,10,11,3,12,14,18,10,8,5,13
4,13,15,20,10,18,21,16,19,20,23,16,21,14,15,24,14,14,19,21,10,11,10,15,23,14,17,19,17,19,19
5,21,25,13,22,15,19,24,23,24,17,19,21,13,14,22,18,15,18,16,13,19,17,21,13,16,10,13,17,25,21
6,18,25,18,21,14,14,17,23,22,20,12,12,19,12,12,11,25,18,13,14,12,13,19,10,20,20,20,14,15,24
7,35,35,32,39,34,38,40,28,38,29,23,36,25,25,27,35,34,32,38,35,27,32,35,36,30,36,25,31,36,22
8,25,26,33,28,32,33,28,32,26,36,37,29,27,40,33,39,36,33,38,25,35,33,39,25,22,39,39,26,23,40
9,39,40,38,22,37,28,25,29,27,35,26,29,34,26,32,35,23,24,27,35,32,22,39,26,22,30,28,33,37,23
10,26,28,18,23,18,18,23,17,19,18,23,24,15,21,23,19,16,23,23,17,16,26,15,26,15,22,16,18,25,15
11,16,28,25,18,28,27,23,16,17,22,27,26,27,28,18,26,19,15,21,23,16,17,20,26,20,26,21,26,22,18
12,24,17,27,25,27,20,16,26,16,18,19,27,16,19,26,20,28,19,17,19,16,28,28,17,21,26,27,20,17,21
